front,back
folk,gente
fever,fiebre
nail,clavo
bitter,amargo
aims,objetivos
fence,cerca
criteria,criterios
branches,sucursales
highlight,destacar
clever,inteligente
bored,aburrido
stroke risk,riesgo de accidente cerebrovascular
wrap,envoltura
deemed,considerado
widespread,generalizado
boot,bota
nightmare,pesadilla
insight,conocimiento
endless,sin fin
clue,clave
conscious,consciente
acknowledge,reconocer
assignment,asignación
heating,calefacción
grain,grano
genre,género
placing,colocación
jam,atasco
compliance,cumplimiento
perceived,percibido
moreover,además
aunt,tía
that it emerged,que surgió
bubble,burbuja
apologize,disculparse
reaches,alcanza
embrace,abarcar
tackle,abordar
stating,indicando
embarrassing,embarazoso
crop,cultivo
elderly,anciano
barrier,barrera
pile,montón
hurry,apurarse
lean,inclinarse
meaningful,significativo
dining,comida
acquire,adquirir
guilt,culpa
bend,doblar
lip,labio
owe,deber
mud,lodo
dishes,platos
deadline,fecha límite
chasing,persecución
dive,bucear
mild,leve
drum,tambor
freeze,congelar
lung,pulmón
breakdown,descomponer
laughter,risa
pose,pose
thoroughly,minuciosamente
intend,pretender
advise,aconsejar
indoor,interior
meter,metro
bride,novia
pale,pálido
approve,aprobar
bud,brote
fold,doblar
lacking,carente
underneath,debajo
span,durar
assess,evaluar
blanket,frazada
proves,prueba
laundry,lavadero
ashamed,avergonzado
cheat,engañar
belonging,pertenencia
oven,horno
adequate,adecuado
embarrassed,avergonzado
enhance,mejorar
nut,tuerca
in spite of,a pesar de
backwards,hacia atrás
strengthen,fortalecer
likewise,asimismo
nonetheless,sin embargo
thereby,así
ladder,escalera
fur,pelo
reject,rechazar
well-suited,bien adaptado
fork,tenedor
confusing,confuso
accordingly,respectivamente
disappointing,decepcionante
barriers,barreras
outlet,salida
borrow,pedir prestado
flour,harina
behave,comportarse
clerk,oficinista
disposal,desecho
accurately,exactamente
roller,rodillo
bent,doblado
neat,limpio
clause,cláusula
expose,exponer
bean,frijol
needle,aguja
crowded,atestado
cord,cable
delight,deleitar
ankle,tobillo
coupled,acoplado
harmful,dañino
scholar,erudito
melt,derretir
wreck,naufragio
flu,gripe
hollow,hueco
annoyed,enojado
purse,cartera
arise,surgir
prone to,propenso a
is that it is prone,es que es propenso
leisure,ocio
outline,describir
impose,imponer
lend,prestar
reliability,fiabilidad
bake,hornear
amazed,asombrado
offshore,costa afuera
likelihood,probabilidad
batch,lote
arguably,posiblemente
fog,niebla
rack,estante
aiming,puntería
traces,rastros
spoon,cuchara
leverage,aprovechar
vague,impreciso
lending,préstamo
messy,desordenado
maturity,madurez
curtain,cortina
behavioral,ERROR
insights,perspectivas
envelope,sobre
dismiss,despedir
advertisement,anuncio
mat,estera
heel,tacón
switches,interruptores
afterward,después
entertain,entretener
strengths,fortalezas
curved,curvo
boil,hervir
suffers,sufre
obey,cumplir
imply,implicar
broadly,en general
ribbon,cinta
accompany,acompañar
lid,tapa
weaknesses,debilidades
disclosed,revelado
wardrobe,armario
explode,explotar
hesitate,dudar
loudly,fuerte
pitcher,lanzador
lightweight,ligero
drawer,cajón
respondents,encuestados
lick,lamer
depicted,representado
it improves,mejora
are marched,están marchando
opted,optó
ranged,a distancia
frightened,atemorizado
favors,favores
greet,saludar
paramount,supremo
glove,guante
grabs,agarra
shaping,organización
grease,grasa
ample,amplio
backward,hacia atrás
downward,hacia abajo
accuse,acusar
boulder,roca
outdoors,al aire libre
folding,plegable
scrub,fregar
feather,pluma
advent,adviento
contingent upon,dependiendo de
frightening,alarmante
forbid,prohibir
fuzzy,difuso
towels,toallas
narrowly,estrechamente
loops,bucles
underwent,se sometió
inaccurate,incorrecto
contestants,concursantes
portray,retratar
slips,resbalones
careless,descuidado
indoors,dentro
cheerful,alegre
curly,ondulado
outlines,contornos
disrupt,interrumpir
weakest,más débil
inherently,inherentemente
scissors,tijeras
duct,conducto
cushion,almohadón
pounding,golpeteo
poisonous,venenoso
staples,grapas
storing,almacenar
disposable,desechable
overlapping,superposición
stakeholders,partes interesadas
amidst,en medio de
tailored,hecho a medida
blond,rubio
aforementioned,citado
spikes,zapatillas con clavos
witnessing,presenciando
spins out,gira
bleach,lejía
profitability,rentabilidad
overdue,atrasado
overload,sobrecarga
striving,esfuerzos
pivotal,esencial
tackling,abordando
mimic,imitar
waived,renunciado
chunks,trozos
leash,correa
despicable,despreciable
annoy,enojarse
changer,cambiador
shortcomings,deficiencias
feasibility,factibilidad
aiding,ayudando
swarm,enjambre
preferable,preferible
broom,escoba
depict,representar
coarse,grueso
rink-aware,consciente de la pista
negligible,despreciable
mop,fregar
scarcity,escasez
apron,delantal
noticeably,notablemente
sparse,escaso
ostensibly,aparentemente
they aint got enough,no tienen suficiente
showcasing,exhibiendo
fumes,humos
portrays,retrata
usefulness,utilidad
acknowledgement,reconocimiento
binder,aglutinante
stir-frying,saltear
shattering,aplastante
cramped,estrecho
injure,lesionar
stemming from,proveniente de
hamper,cesto
humbled,humillado
smoothie,zalamero
bridging,puente
straws,pajitas
bandage,vendaje
awakens,despierta
cumbersome,incómodo
effortless,fácil
salient,saliente
whisk,batidor
enlightening,esclarecedor
dropout,Abandonar
frighten,asustar
yawn,bostezo
beavers,castores
napkins,pañales
intelligently,inteligentemente
pruning,poda
breakthroughs,avances
smashes,aplasta
dataset at it is,conjunto de datos en el que está
leveraging,aprovechando
saucepan,cacerola
cutlery,cuchillería
bagging,harpillera
lint,hilas
fasten,sujetar
pooled,agrupado
cleansed,limpiado
pooling,agrupación
gleaned,espigado
eraser,borrador
plunger,émbolo
rectified,rectificado
fine-grained,de grano fino
distorting,distorsionista
enforces,hace cumplir
slanted,inclinado
hander,entregador
adheres,se adhiere
heaving,agitando
overdraft,sobregiro
grandparent,abuelo
blindfold,venda
unsightly,feo
delving,profundizando
outperformed,superado
appropriateness,oportunidad
netizens,internautas
trustworthiness,integridad
strainer,colador
middleware,software intermedio
shel,shel
squished,aplastado
stapler,grapadora
purer,más puro
pervades,impregna
freshener,ambientador
grater,rallador
retrieves,recupera
peeler,policía
shew,mostrar
outperforms,supera
corse,corsé
hashed,hash
amylase,amilasa
throught,a través de
elucidating,dilucidando
briefcases,maletines
unhook,desenganchar
leet,dejar
pervade,impregnar
clime,clima
feedforward,avance
cought,tostó
assesment,evaluación
clothespins,ERROR
ballons,globos
fews,pocos
broadley,Broadley
futhermore,además
wheter it meets,si se encuentra
wheter,si
suppy,abastecer
shedule,programar
throughtout,en todo momento
througout,en todo
envolved,involucrado
fryin pan,sartén
sideswipes,golpes laterales
thorought,minucioso
sively,sivamente
trunck,baúl
allpro,todo pro
rathen,Rathen
beauxiliary,Beauxiliar
relentness,implacabilidad
retrievel,recuperar
ofsuch,de tal
nowever,ahora nunca
shivel,shivel
enfore,antes
proppelled,propulsado
the subsecuent aim,el objetivo posterior
samewhat,lo mismo que
idented,identificado
instanly,al instante
deamed,desamorado
assesed,evaluado
backruptcy,quiebra
unpooled,no agrupado
asess,evaluar
benckmark,punto de referencia
anypro,cualquierpro
underlyng,subyacente
addresing,dirigiéndose
